name,country,state,address,reg_no,product_codes,device_names,device_class,specialty,k_numbers,source
MARLE FINISHING SAS,FR,FR,443 Rue Rene Cassin La Talaudiere Loire FR,3012275107,LZO; KWY; KWL,Prosthesis; Hip; Semi-Constrained; Metal/Ceramic/Polymer; Cemented Or Non-Porous; Uncemented; Hemi-; Femoral; Metal/Polymer; Cemented Or Uncemented; Metal,2,Orthopedic,,openFDA
ADVANCED CONCEPT INNOVATIONS LLC,US,FL,4100 S. FRONTAGE RD. LAKELAND FL US 33815,3006015326,JWH,Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer,2,Orthopedic,,openFDA
"AVALIGN INTEGRATED MEDICAL SOLUTIONS, INC",US,OH,7124 Industrial Park Blvd Mentor OH US 44060,1527105,KWP; MAX; NKG; MNI,Appliance; Fixation; Spinal Interlaminal; Intervertebral Fusion Device With Bone Graft; Lumbar; Posterior Cervical Screw System; Orthosis; Spinal Pedicle Fixation,2,Orthopedic,,openFDA
GLOBAL RESOURCES INTERNATIONAL DOMINICANA GRID S.R.L.,DO,DO,Pro-Industria Free Zone San Pedro de Macoris DO,3018077422,OEZ; OGR,Cardiovascular Procedure Kit; Ear; Nose; And Throat Surgical Tray,2; 1,"Cardiovascular; Ear, Nose, Throat",,openFDA
"TRUE DIAGNOSTICS, INC.",US,CA,5919 Farnsworth Ct Carlsbad CA US 92008,3027500452,QKP,Coronavirus Antigen Detection Test System.,N,Unknown,,openFDA
"AZER SCIENTIFIC, INC.",US,PA,701 Hemlock Rd Morgantown PA US 19543,3009963993,KQC,Stains; Hematology,1,Hematology,,openFDA
"Laboratorios PiSA, S. A. de C.V.",MX,MX,Carretera San Isidro Mazatepec No. 7000 Tlajomulco de Zuniga Jalisco MX,3007502289,JOH; BTR; FQH; FRO,Tube Tracheostomy And Tube Cuff; Tube; Tracheal (W/Wo Connector); Lavage; Jet; Dressing; Wound; Drug,2; U,Anesthesiology; General Hospital; Unknown,,openFDA
Radiometer Solutions Sp. z o.o.,PL,PL,Stalowa 6 Stargard Zachodniopomorskie PL,3013513377,KLK; LPP; DPZ; DQA; LKD; CGL,Monitor; Oxygen; Cutaneous; For Infant Not Under Gas Anesthesia; For Uses Other Than For Infant Not Under Gas Anesthesia; Oximeter; Ear; Carbon-Dioxide; Electrode; Ion Based; Enzymatic; Creatinine,2,Anesthesiology; Cardiovascular; Clinical Chemistry,,openFDA
"ASAHI INTECC HANOI CO., LTD.",VN,VN,"Plot G-3 Thang Long Industrial Park, Thien Loc commune Hanoi Ha Noi VN",3009121749,DQX; MOF,Wire; Guide; Catheter; Neurovasculature,2,Cardiovascular,,openFDA
APS Materials Suzhou,CN,CN,"Building # 2, Emerging Industrial Square, 78 Xinglin Street, Suzhou Industrial Park Suzhou Jiangsu CN",3020282716,KWL; JDI; KWA; LPH; KWZ; MEH; MAY; LWJ; JDL; KWY; LZO; OQH; OQG; PBI; OQI,Prosthesis; Hip; Hemi-; Femoral; Metal; Semi-Constrained; Metal/Polymer; Cemented; Semi-Constrained (Metal Uncemented Acetabular Component); Porous Uncemented; Constrained; Cemented Or Uncemented; Uncemented; Metal / Polymer; Non-Porous; Calcium Phosphate; Metal/Ceramic/Polymer; Cemented Or Non-Porous Cemented; Osteophilic Finish; Metal/Polymer + Additive; Cemented Or Non-Porous; Hip Prosthesis; + Additive; Porous; Metal/Ceramic/Polymer + Additive,2; 3,Orthopedic,,openFDA
